video_id,caption_len_words,has_hallucination,n_claims,claims,error
37cc4fe62908ff291e7986fe7b073fff,126,0,0,,
0c0f38fcfde73f554ba87666b7a0f370,123,0,0,,
87f35f52d9383abb3842dd9ecc356094,127,1,1,"a hand is seen reaching inside the vehicle, touching a bright red seat",
7a70181f69d9bc4c326d7bc4c4b5273b,130,0,0,,
6f93ea66dceaf870ddb75fc044ebac54,127,1,2,"The caption describes four distinct frames/moments (first frame with man facing TV, second frame jumping, third frame landing with blur, final frame with man exited), but only three frames are provided | Caption states 'By the final frame, the man has completely exited the scene, leaving the room empty' — in the third frame provided, the man is still visible in the room, not exited",
4568b2da8351c56776b7afd531637b1a,128,0,0,,
33a753338bc143f3de95b943c7b0edef,138,0,0,,
2be781393a78530b8836253443d1196c,125,1,1,"A black circular logo that contains the text ""Stan Pettelette""",
d19f5ced57c18761a2d2654b48a70a33,141,0,0,,
0f59fd722602d8daf87cbc60f2ee48fc,145,1,1,"Behind them, a glowing red sign displays the text 'SL' — the visible signage on the right side of the stage shows yellow/gold text, not red text reading 'SL'",
0e90af261f4fce7d5eabd9d4f1e4d537,145,0,0,,
2ee2ee8f11fdc4e2fa4473f40fbabb2b,139,1,2,"hair styled in a high bun and braids — the hair is styled in a bun with braids, but not in a high bun position; the bun appears to be positioned at the crown/top but the overall description of 'high bun' is not clearly supported | logos for 'BOSS TALK 101' and 'BOSS TALK 101' are displayed in the lower corners — the lower left corner shows a logo that reads 'BOSS TALK' with 'PODCAST' and 'CEO' text, not matching the duplicate 'BOSS TALK 101' description; the lower right shows 'BOSS TALK 101' but the left corner logo is distinctly different",
6d348f59ef8394dd491795c2b40bc3f6,114,0,0,,
74f48127364950eb5ec687664ac68513,123,0,0,,
f7a6d4b5be891f73cede43bc969f2bee,132,0,0,,
0ccffc292d99955b860199ebf8138a6b,140,0,0,,
634d0fb7679f325805d53332cb24f536,127,0,0,,
d02c279a049b19bf0eb7c496073dc869,126,0,0,,
6e0dc9c33f2b7e47e266a7074fe3952c,140,0,0,,
de79b86123d88b4182fda2253d33e01f,129,0,0,,
897098765cbaaaddc5ff9a32106c2458,131,1,1,"a banner that reads ""UNIQUE FASHION""",
02d19c87e5708eac24d44e3036d23a26,126,1,1,long-sleeved button-down shirt — the shirt is clearly short-sleeved in all three frames,
4f4b58e3e79881ecff1b165ae43ea119,129,0,0,,
d1e02143cf38b3e4a6883e8a7b520528,120,1,3,"two red taillights on the left and ""CORVETTE"" text in two different styles on the right | A small red, white, and blue logo is centered on the lower bumper | the tow hitch attached to the rear",
a9132ded41512938ed81393f6a5c0883,129,0,0,,
8941c23542e82cef0325718c31c0b59e,129,1,1,red and white striped short-sleeved shirt,
4d34c4c71b3ccf354c11cce0b2a89826,136,1,1,black container with red and white text that reads 'TALK OUT' — no such container is visible on the desk in any of the three frames,
6b89f41bacdad5cdd5683aa6f0b13694,132,0,0,,
a76388f94fcf7b1a82230da5fdf2101c,133,1,2,"The caption describes 'four frames' but only three frames are provided | The caption describes a 'white and gray zip-up jacket' but the jacket visible is black with white/light colored trim, not white and gray",
338a4b591ae29980054e0e2a6001201c,121,1,1,NFO-OBJECTS logo visible in bottom-left corner,
2e800d7194a9adfc1b13997a9295c52b,137,1,1,"red text logo on the right that reads ""BOOK IT REALLY TOT"" — the visible logo on the right reads ""BOSS TALK 101"", not ""BOOK IT REALLY TOT""",
bc5c5798d93d0c76c0ccb5dda1a33990,133,1,2,"Text labels show 'Jerry McLaine', 'Howard Shuman', 'Noah Bridge', and 'Hana T' — the visible labels read 'Jerry Michalski', 'Howard Silverman', 'Gene Bellinger', and 'Nadia T' | Man in middle wearing 'blue shirt and a black baseball cap' — he is wearing a blue shirt and pink/magenta visor or cap, not a black baseball cap",
3062116cb4f43bb7699ed6115a1c7c04,136,0,0,,
b2237a6cd490ed9eeed00c4c0a5b5649,119,0,0,,
aacd177774e8c0068b88804652834fef,137,0,1,"The caption states the calculation transitions to '$\frac{462 - 430}{462 - 29} = \frac{32}{433}$' but frame 3 clearly shows '$\frac{462-430}{462-29} = \frac{32}{433} = 0.074$', meaning the intermediate fraction $\frac{32}{433}$ is shown alongside the final result 0.074, not as a separate transition step.",
834574126c393f332883b945789ed135,144,0,0,,
