video_id,duration,rating,reason,error
yFmrHyZqie4,1.03,3,"Both frames show the same NBA game in progress at the same arena, with continuous action depicting a player falling/sliding on the court during what appears to be the same play sequence.",
_8zzdOnrlF4,10.00,3,"Both frames show the same football match with Juventus players on a grass field, depicting continuous action during the same game with natural camera movement between plays.",
CKsmcYSIqFE,3.00,3,"Both frames show the same person in an outdoor field setting with mountains in background, depicting continuous action from a portrait moment to the person running/moving across the field.",
3XUqxsf9oHg,2.00,3,"Both frames show the same outdoor location with a stuck car in mud, depicting continuous recovery/assistance action from different angles and moments during the same incident.",
ycrVulfnJxo,10.00,3,"Both frames show the same person in the same gym location performing what appears to be a continuous kettlebell exercise sequence, with identical background, lighting, and setting.",
h0KjLH3kYWk,8.00,1,"The second frame is completely black/blank while the first shows a person holding a pink item in a well-lit room, indicating a clear scene discontinuity or technical failure rather than continuous action.",
NqrHN6XxDow,3.00,3,"Both frames show the same person in the same workshop/creative space, with the first showing him posing to camera and the second showing a close-up of a red 3D-printed boat he created, depicting continuous activity in one location.",
8OeuAnWhbnc,20.00,3,"Both frames show the same swimming pool from the same overhead camera angle with the same person in red clothing in the water, depicting continuous action in the same location.",
J_B3RrsIevM,1.00,3,"Both frames show the identical text display ('신동하 도자기' and 'sado.kr') in the same position and styling against a black background, indicating continuous display of the same content without scene change.",
1xu8oeHeRzU,1.00,3,"Both frames show the same judo competition at the same venue with the same two competitors in white judogi, with the camera simply repositioning slightly between frames to show different angles of the continuous match setup.",
wCBgd4nYdJc,3.00,3,"Both frames show the same person examining product packaging in the same location, with natural camera movement from showing the product being held to displaying the back of the package.",
tBSgmyX5_D8,3.00,3,"Both frames show the same Citizen watch being held in hands from slightly different angles during a continuous product demonstration, with only minor hand position changes between shots.",
hB2eIe9HTrw,6.00,3,"Both frames show the same boss fight in the same location with continuous combat action, just captured at different moments during the encounter with similar camera positioning and weather effects.",
wdupWOx_828,2.00,3,"Both frames show the same pink background with identical Kirby characters on either side, with only the addition of Japanese text '4位' (4th place) in the second frame, indicating continuous action within the same scene.",
UwSAGZmpglw,8.05,1,"The frames show completely different contexts: the first depicts a woman in a studio setting speaking to camera, while the second shows an animated illustration of children at a school building, with no continuity in subjects, setting, or visual style.",
fQLMFWYc9is,8.00,2,"Both frames show food from what appears to be the same meal/event, but the first is a wide buffet setup while the second is a close-up of an individual plated serving, suggesting camera zoom/focus change rather than continuous action.",
wKL5o4NEWr4,58.00,1,"The first frame shows a real photograph of a person near water with crocodiles, while the second frame is an animated/drawn illustration of risk management concepts - these are clearly different contexts and content types with no continuity.",
G-828bdJNbw,4.04,3,"Both frames show the same two people in the same indoor TV studio setting with consistent lighting and background, depicting continuous conversation/interaction during what appears to be a talk show segment.",
R-koxqtskmk,2.00,3,"Both frames show the same dining scene with the same table, food, subjects, and continuous conversation about Korean and American food culture, with only natural camera angle changes between them.",
KBmwxUh1Fl4,1.00,3,"Both frames show the same musician playing guitar on the same stage with identical overhead decorations, lighting, and equipment setup, depicting continuous performance action.",
