video_id,dataset_caption_len_words,reference_caption_len_words,bleu_4,meteor,rouge_l_f,reference_caption,error
37cc4fe62908ff291e7986fe7b073fff,126,134,0.1196,0.3858,0.3197,"The video shows a woman speaking directly to the camera against a plain black background, consistent across all four frames. She has shoulder-length dark hair and wears black-framed rectangular glasses and a light mint-green kurta with embroidered detailing along the neckline. A small lapel microphone is clipped to her top, and she wears a dark beaded necklace. Her expression and mouth position vary slightly across the frames, indicating she is mid-speech throughout the clip. In the earlier fram",
0c0f38fcfde73f554ba87666b7a0f370,123,144,0.0956,0.3551,0.3382,"The video shows a crafting workspace with a white wooden surface, where a person's hands are visible handling a large sheet of decorative paper featuring an autumn foliage pattern in shades of green, gold, and white. The person wears a white smartwatch or fitness band on their wrist. Across all frames, they are repositioning and smoothing the patterned paper on a cutting mat with grid lines, accompanied by a ruler and several stamping supplies including a black ink pad labeled ""MEMENTO"" and clea",
87f35f52d9383abb3842dd9ecc356094,127,143,0.0820,0.3137,0.2867,"The video showcases a gray Dodge Challenger muscle car being examined in what appears to be a sunny outdoor parking area surrounded by green trees. In the opening view, the full side profile of the gray Challenger is visible, revealing a hood scoop and stylish multi-spoke wheels. The front of the car is then shown up close, displaying circular headlights with red accent rings and the badge reading ""Challenger"" along with what appears to be ""SXT"" designation on the grille. Subsequently, a person'",
7a70181f69d9bc4c326d7bc4c4b5273b,130,136,0.0707,0.4209,0.2920,"The video shows a man seated at a podcast recording setup, speaking into a large condenser microphone while wearing over-ear headphones. He is dressed in a white dress shirt, tan suspenders, and a red patterned bow tie, and sports a dramatic tall gray mohawk-style wig that extends well above his head. He wears thin-framed glasses and has a small goatee. Behind him, the wall is covered with numerous framed photographs arranged in a grid pattern, along with what appears to be clothing and other st",
6f93ea66dceaf870ddb75fc044ebac54,127,138,0.1229,0.3303,0.3088,"The footage, captured in black-and-white night-vision by what appears to be an indoor security camera, shows a living room interior furnished with a large flat-screen television on a media console, bar-height stools, a tall dark vase, and decorative wall art. In the earliest moments, a shirtless, heavyset man wearing dark shorts and visible tattoos on his back moves briskly in front of the television. A second individual dressed in a dark top and light-colored pants with dark stripes is also pre",
4568b2da8351c56776b7afd531637b1a,128,120,0.0631,0.3698,0.2311,"The video shows an elderly man with white hair and a white beard, wearing glasses and dressed in a traditional Indian cream-colored kurta and Nehru jacket, speaking at a podium equipped with two microphones. He stands in front of an ornate green marble wall with geometric carved patterns, and a decorative pillar with gold accents and red flowers is visible behind him. The setting appears to be a formal governmental or ceremonial hall. Across the frames, the speaker's hand gestures change dynamic",
33a753338bc143f3de95b943c7b0edef,138,139,0.1327,0.3834,0.2807,"The video shows a person holding a graded sports trading card in a clear plastic slab, rotating and examining it under bright lighting inside what appears to be a sports card shop or streaming studio. In the background, shelves and boxes of trading cards are visible. The card itself has a dark, predominantly black design with purple accents and features the ""Topps"" logo along with text reading ""HR"" and ""HoH"" visible on the back. The graded slab has a label at the top. As the scene progresses, th",
2be781393a78530b8836253443d1196c,125,136,0.0623,0.3779,0.3019,"The video shows a single man seated in what appears to be a professional podcast or recording studio, with dark acoustic foam panels covering the wall behind him. He is wearing a white t-shirt that reads ""Stay Authentic"" and has a shaved head, a dark beard, and visible tattoos on his arm. He is wearing black over-ear headphones and is positioned in front of a large condenser microphone mounted on a shock-mount boom arm, with a microphone stand label that appears to read ""Your Podcasting"" or simi",
d19f5ced57c18761a2d2654b48a70a33,141,143,0.1183,0.3706,0.3310,"The video shows a crafting workspace with a white cutting mat marked with a grid, where a person's hands are visible working with white cardstock paper. The person wears a white Apple Watch on their left wrist and has manicured nails. In the background, green and yellow floral patterned paper, a brown wood-grain panel, a black ink pad, a red rubber stamp, and a teal container of what appears to be ""Stampin' Seal"" adhesive are visible. Across the frames, the person is cutting or tearing the white",
0f59fd722602d8daf87cbc60f2ee48fc,145,143,0.1552,0.4347,0.3810,"The video shows a panel discussion taking place on a stage with a dark backdrop featuring purple neon light accents and warm stage lighting along the floor. Three panelists are seated in wooden chairs arranged in a row: on the left, a young man with dark curly hair wearing a white button-up shirt; in the middle, a blonde woman wearing a black graphic t-shirt and dark pants; and on the right, an Asian man in a grey suit jacket with a light blue shirt. A white decorative object resembling a styliz",
0e90af261f4fce7d5eabd9d4f1e4d537,145,132,0.1899,0.4519,0.3140,"The footage shows a formal meeting room in what appears to be the Israeli Knesset, with Israeli flags visible in the background alongside Hebrew signage reading ""ישראל"" (Israel). Two men are seated at a conference table: one wearing a white dress shirt and another in a dark suit with a dark red tie. Name placards in Hebrew are visible on the table, along with glasses of water and a green bottle. Across the frames, both men shift slightly in their seats, adjusting their posture and glancing downw",
