video_id,dataset_caption_len_words,reference_caption_len_words,bleu_4,meteor,rouge_l_f,reference_caption,error
_8zzdOnrlF4,11,143,0.0000,0.0190,0.0526,"The scene takes place on a green football pitch, where players in red and white uniforms and players in black and white uniforms are involved in a physical altercation near a white boundary line. Several players wearing red shirts with numbers ""31"" and ""19"" on their backs are visible throughout, along with individuals in black clothing who appear to be staff or officials. In the opening moments, a large group clusters together in what appears to be a pushing and shoving confrontation, with a per",
yFmrHyZqie4,14,145,0.0000,0.0443,0.0745,"The clip shows an NBA Western Finals game broadcast on TNT, taking place on a hardwood court in a packed arena with fans wearing gold and yellow. In the opening moment, a player in a dark Golden State Warriors uniform drives toward the basket while a defender in a white Houston Rockets jersey attempts to contest. A second Warriors player in dark clothing is visible nearby, and the scoreboard and blue LED courtside advertising boards reading ""ZOOMPLUS"" and ""SNAP US"" are visible in the background.",
ycrVulfnJxo,10,147,0.0000,0.0329,0.0745,"The video is set inside a martial arts or gymnastics training gym with a large blue padded mat covering the floor, white walls with curtains, ceiling-mounted fluorescent lights, yellow metal bars along the walls, a hanging punching bag, and a circular target mounted on the wall. A single athletic man wearing a cyan/light blue sleeveless tank top and black pants is the only person present. Across the sequence, he begins standing upright with his hands loosely raised in front of him, then shifts h",
CKsmcYSIqFE,7,131,0.0000,0.0165,0.0426,"The video begins with a close-up of a young man wearing a black and pink raglan t-shirt with partially visible text reading ""QUEENS"" and ""ATTAN"" (likely ""Queens Manhattan""), along with a dark cap worn backwards, speaking directly to the camera with his hands clasped together in front of him. The remaining frames transition to an open grassy field with rolling, tree-covered mountains in the background under a partly cloudy blue sky, where a person dressed in black pants and a white top performs a",
3XUqxsf9oHg,12,141,0.0000,0.0420,0.1169,"The video is filmed outdoors in a sparse forest with bare trees, on muddy, churned-up ground. The first frame shows a close-up of a car wheel deeply embedded in mud, with a white object visible nearby. The remaining frames show a woman with curly hair, wearing a gray top, red trousers, and blue rubber boots, working to free a blue sedan that is stuck in the mud. She is bent forward, pushing or digging at the front of the car. The car's front license plate area displays the text ""ГЛАВНАЯ ДОРОГА"" ",
h0KjLH3kYWk,8,133,0.0000,0.0304,0.0559,"The image is extremely dark, making it very difficult to discern clear details. Across the frames, there appear to be two small, dimly lit shapes that resemble rounded or boxy objects — possibly bags, containers, or similar items — positioned against a completely black background. One object appears in the upper-left area and another in the upper-right area in the earlier frames, while a third similar shape appears in the lower-left area in the later frames. The objects are only faintly visible ",
J_B3RrsIevM,8,125,0.0000,0.0362,0.0741,"All four frames show an identical black background with dark orange/rust-colored Korean text and a website address displayed in four quadrants. The text reads ""신동하 도자기"" (which translates to ""Shin Dongha Ceramics/Pottery"") with the URL ""sado.kr"" beneath it in each quadrant. A small watermark reading ""ALSee 동영상"" appears near the center and right edge of each frame. There are no people, objects, or physical settings visible — the entire video consists solely of this static title card repeated acros",
NqrHN6XxDow,9,140,0.0000,0.0194,0.0526,"The video is set in a maker or workshop space, with shelves of tools, spools, and various supplies visible in the background. In the opening frame, a young man with short dark hair and a beard, wearing a dark grey zip-up hoodie, faces the camera and appears to be speaking. He holds a small red 3D-printed object — recognizable as a miniature tugboat or ferry, a common 3D printing test model often called a ""Benchy."" In the subsequent frames, the camera shifts focus entirely to the red Benchy being",
8OeuAnWhbnc,10,137,0.0000,0.0274,0.0789,"The video is set in a large, oval-shaped outdoor swimming pool surrounded by palm trees, manicured grass, and multi-story residential or resort buildings in the background. A single person wearing a dark, long-sleeved wetsuit or swim skin is standing in the shallow area of the pool, positioned near a curved bench or ledge feature along one side. In the first frame, the person has both hands raised to their head, appearing to adjust goggles or a swim cap. By the subsequent frames, their arms lowe",
1xu8oeHeRzU,6,128,0.0000,0.0126,0.0441,"The video shows a karate competition taking place in a large indoor arena filled with spectators. Two competitors dressed in white karategi (uniforms) face each other on a light-colored mat; one wears a blue-black belt and the other a red-accented belt, suggesting a high-level match. A referee in grey trousers, white shirt, and red tie stands between them to officiate. In the background, banners in green and red display Japanese text and the logo of what appears to be the Japan Karate Associatio",
