video_id,dataset_caption_len_words,reference_caption_len_words,bleu_4,meteor,rouge_l_f,reference_caption,error
8uLzRDExhBk_11_0to106,123,133,0.0719,0.2926,0.3166,"The video shows a dark, futuristic-looking helmet — resembling a sci-fi or video game prop, similar in style to a Halo Master Chief helmet — resting on a white-covered table in what appears to be a workshop or fabrication studio. The helmet is angular and tactical in design, with a tinted visor and dark gray paneling with subtle red accents. In the background, a yellow safety cabinet bears the repeated warning text ""FLAMMABLE"" and ""INFLAMMABLE."" Various wooden crates, equipment, and workstations",
z7zRFdFH-ys_26_0to114,74,147,0.0132,0.1803,0.2262,"The video depicts an animated, mystical clock face rendered in deep cosmic blues and purples against a dark space-like background. The clock features Roman numerals — including visible markings such as ""IV,"" ""III,"" ""II,"" ""XI,"" ""IX,"" and ""XII"" — displayed in alternating vivid purple and cyan hues arranged in a circular pattern. At the center of the clock face, a stunning cluster of glowing stars and sparkling light points shimmers against the dark backdrop, evoking the appearance of a distant gal",
ZNJpKn0LVh8_6_0to122,84,134,0.0191,0.1942,0.2456,"The video shows a bedroom scene featuring a classic black twin-bell alarm clock sitting on a wooden bedside table, with a young woman with dark hair sleeping in the background on a white-pillow bed. The woman is wearing a light-colored top and lies with her head resting on the pillow, eyes closed. Across the four frames, the clock's minute hand visibly advances, starting at approximately 8:00 and progressing toward roughly 8:03–8:05, illustrating the passage of time. The background remains a sof",
i2ie35t4MQE_2_0to114,80,143,0.0198,0.2007,0.2920,"The video shows a young man with short dark hair, light stubble, and black rectangular glasses, wearing a white button-up shirt, seated in front of a large black condenser microphone mounted on a shock mount against a completely black background. He appears to be speaking or recording audio, as his mouth and facial expressions change subtly across the sequence. In the first moment he is looking slightly downward, then shifts to looking more directly forward, and across the later frames his gaze ",
Kzx3JGB0QPU_32_0to122,108,133,0.0633,0.2347,0.2204,"The video shows a single man being interviewed in what appears to be a modern indoor setting, with large windows and blurred greenery visible in the background. The man is middle-aged, heavyset, with a shaved head and a short white-gray goatee. He is wearing a black crewneck shirt beneath an open gray-blue chambray button-up shirt. Across all four moments in the clip, he is speaking directly toward the camera, with his facial expression and mouth position changing as he talks — his head turns sl",
zMQI7yA9W-4_0_366to468,109,136,0.0274,0.2533,0.2629,"The video shows a young woman with dark skin and black braided hair styled in two braids framing her face, wearing a white top and small gold stud earrings, along with a nose ring. She is filmed in a bright, softly lit indoor space with a white wall, a blurred green plant, and what appears to be a light-colored couch or cushioned furniture in the background. A red object is partially visible on the right side of the background. The woman begins facing directly toward the camera with a neutral, c",
VWntGCy49TY_33_17to128,95,131,0.0747,0.2419,0.2969,"The video is set in a forest with tall trees and a leaf-covered ground. A man wearing a black zip-up hoodie and dark pants sits on a fallen log with his arms crossed, looking directly at the camera. In the top-right frame, a second person wearing a beige puffer jacket and jeans appears standing to his right, though only their lower body and torso are visible. As the scene progresses, the camera shifts to reveal both individuals seated on the log together — the second person is now fully visible,",
TbO5R3dS-6A_6_0to136,108,140,0.0235,0.2539,0.2857,"The video shows a middle-aged man with short, slightly spiky grey-brown hair speaking directly to camera against a plain grey-green background. He is wearing a distinctive retro-style polo shirt featuring yellow sleeves and collar combined with a beige and brown striped vest-style body. Across all four frames he appears to be talking, with his mouth in various positions of speech and his eyes partially closed or blinking in the earlier frames, then more open in the later frames. His expression i",
2nepnsSFWcs_84_75to183,97,134,0.0548,0.2574,0.2553,"The video shows a man seated against a plain gray background, appearing to be a professional headshot or media session. He is wearing a black polo shirt with yellow accent stripes on the collar, suggesting an affiliation with a sports team. The man has dark brown hair with some gray, blue eyes, and a short mustache and beard. Across all four frames, he remains largely still, facing directly toward the camera with a neutral, composed expression. Subtle differences in his gaze and slight facial mu",
uO7fVvmaSVI_23_0to125,93,153,0.0274,0.2263,0.2358,"The video is set in a professional restaurant kitchen, with stainless steel surfaces, warm ambient lighting, and red order tickets visible in the background. In the first two frames, a young person — appearing to be a teenager or young adult — wearing a dark navy cap and a dark grey shirt with a black apron strap is shown in close-up. In the first frame they are looking downward with a subtle expression, and in the second they have turned slightly, glancing upward and to the side. The third fram",
P5f05yqIr9E_75_23to127,91,126,0.0608,0.2723,0.2731,"The video shows a 3D-animated cartoon character — a bald, round-headed baby or toddler figure with large dark eyes, simple arched eyebrows, and a neutral to slightly pensive facial expression. The character is wearing a blue sleeveless vest over a yellow long-sleeved shirt and orange shoes. The background is a plain, softly lit white or light gray, giving the scene a clean, minimal appearance. Across the sequence, the character appears to be sitting and slowly turning or tilting its head, moving",
KJ3aaGDE67M_65_22to158,167,151,0.0250,0.3041,0.2609,"The video is shot from directly overhead, looking down at a white tiled table set with an assortment of food items including a black square bowl of guacamole, a white bowl of what appears to be hummus or refried beans, a glass bowl of tortilla chips, small white bowls containing seeds or spices, a lime half on a wooden cutting board, a small bottle of yellow liquid, and green herbs. A person is seated at the bottom of the frame, visible only by their arms and hands; they are wearing a light-colo",
YUJF-L7yOkc_12_124to242,108,130,0.0256,0.2262,0.1796,"The scene takes place indoors against a textured grey wall, appearing to be a BBC Three production. In each frame, the ""BBC III"" logo is visible in the upper corner. Two people are present: one facing the camera wearing a black turtleneck top, dark-rimmed rectangular glasses, and shoulder-length brown hair, and another person seen only from behind with voluminous bright golden-yellow hair. Across the sequence of frames, the woman facing the camera transitions from speaking with a neutral-to-stra",
QUw2-P8y8CY_69_28to136,106,123,0.0222,0.2578,0.2232,"The video is set in a modern kitchen with white tile backsplash, a stainless steel range hood, and a counter holding various appliances including a blender and glass carafe, along with shelving displaying mugs and bottles. A heavyset man wearing a dark navy flat cap and a light blue chambray button-up shirt with a small lapel microphone sits at the counter and speaks directly to someone off-camera. Across the frames, he gestures expressively with his right hand — first pointing outward with an o",
uf7ZImHRb3Q_31_369to506,123,128,0.0111,0.2272,0.2470,"A person wearing a dark shirt is decorating a unicorn-themed cupcake or small cake held in a waffle cone cup. The treat features a layer of pink frosting at the base topped with swirled purple frosting, and a purple spiral unicorn horn stands upright in the center. The decorator uses a small metal tool or piping tip to place and arrange tiny fondant or sugar decorations — including what appears to be a small pink bow and a dark purple or navy circular element — around the base of the horn. Acros",
ZoH4rRAKwno_6_363to473,88,135,0.0260,0.2307,0.2301,"A man with gray hair, glasses, and a gray mustache, wearing a black long-sleeve shirt, sits in front of a wooden wall densely lined with various acoustic and electric guitars. He is holding a sunburst-finish acoustic dreadnought guitar upright by its neck with his left hand, displaying it toward the camera. Guitar amplifiers, including what appears to be a Marshall amp, are visible on the floor to the sides. Across the four moments in the clip, the man's expression and posture shift slightly — h",
-H8k-D7kYPw_243_0to108,98,135,0.0672,0.2345,0.2700,"The video shows two middle-aged men seated together in what appears to be an industrial or institutional interior space, with large windows and what looks like a fire alarm or safety equipment visible on the wall in the background. Both men are wearing dark navy or black tops. The man in the foreground, slightly larger in build, is shown in profile facing right, with his hand raised near his chin in a contemplative or listening gesture. The man behind him faces more toward the camera with a seri",
VzAxVNRPOME_14_49to176,98,136,0.0663,0.2547,0.3207,"The video takes place in a living room setting, where a bald man wearing a black short-sleeve t-shirt and a silver bracelet or watch sits reclined on a white sofa with large white cushions. Behind him, shelves display neatly folded colorful clothing items, a framed picture hangs on the white wall, and a tall lamp with a black shade stands in the background. The man appears to be speaking or looking upward thoughtfully, with his hands resting together on his lap. Across the frames, a yellow banne",
QCJin8ONvtU_18_20to156,106,128,0.1270,0.3004,0.3140,"A woman with short blonde hair wearing a dark navy top stands in a domestic kitchen, holding a white paper plate with a small mound of what appears to be a rice or grain-based dish with dark specks. The kitchen background features white cabinets, black-and-white diamond-patterned tile, yellow flowers in a blue vase, a green canister, yellow cans on the counter, and a decorative illuminated letter ""H."" Across the four moments captured, the woman's facial expression shifts noticeably — she appears",
FYrDfiMPa2E_19_17to160,67,132,0.0399,0.2044,0.2277,"The video is set in a living room styled with a ""RAPTURE"" sign on the wall, a decorative sailboat model, a lamp, and bottles on shelves in the background. Four people are seated together on a dark gray sofa: a man in a black shirt and glasses on the far left, a man in a black-and-white plaid shirt next to him, a man in a dark blue shirt holding papers, and a woman in a red top on the far right who also holds papers. The group appears to be reading or reviewing documents placed on a wooden coffee",
813HLjJdtj8_27_45to194,105,121,0.0243,0.1952,0.2414,"The video shows a woman with platinum blonde hair slicked back, wearing a black strappy top or dress, photographed against a pink backdrop decorated with large black brushstroke designs accented with sparkling embellishments. She wears dramatic false lashes, subtle pink lip color, and small stud earrings. Across all four frames, she is posed facing slightly to her left, with a composed, softly smiling expression that shifts minimally — her head tilts very slightly and her gaze adjusts incrementa",
